wavenumber,M1_1,M1_2,M1_3,M1_4,M1_5,M1_6,M1_7,M1_8,M1_9,M1_10,M1_11,M1_12,M2_1,M2_2,M2_3,M2_4,M2_5,M2_6,M2_7,M2_8,M2_9,M2_10,M2_11,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12
399.192657169614,-0.09233397990465164,-0.13515454530715942,-0.116005539894104,-0.09224095940589905,-0.09545262902975082,-0.10740816593170166,-0.1326022446155548,-0.1164083480834961,-0.1091737151145935,-0.10928235948085785,-0.13113655149936676,-0.10647604614496231,0.008819125592708588,-0.12032675743103027,-0.00021951206144876778,-0.13313156366348267,-0.1252148598432541,-0.1305975466966629,-0.13614308834075928,-0.1260559856891632,-0.13673390448093414,-0.0845453292131424,-0.11698872596025467,-0.13856860995292664,-0.14416863024234772,-0.10431072860956192,-0.12447723001241684,-0.11198649555444717,-0.11494407057762146,-0.08359970897436142,-0.10603528469800949,-0.11265190690755844,-0.11592583358287811,-0.0742834061384201,-0.13033387064933777
400.15689064103816,-0.09445729851722717,-0.13481208682060242,-0.11720962822437286,-0.09353388845920563,-0.0978035032749176,-0.10715096443891525,-0.1320744901895523,-0.11616818606853485,-0.10999330878257751,-0.11089854687452316,-0.13037414848804474,-0.10772939026355743,0.007539963349699974,-0.12015759944915771,0.0006670093862339854,-0.13267278671264648,-0.12391091138124466,-0.13046970963478088,-0.13618212938308716,-0.12330058962106705,-0.1366214156150818,-0.08654336631298065,-0.11771603673696518,-0.13606756925582886,-0.1429562270641327,-0.106224924325943,-0.12451278418302536,-0.11138267815113068,-0.11532795429229736,-0.08459559082984924,-0.10561718791723251,-0.11246727406978607,-0.11536579579114914,-0.07835482060909271,-0.13041333854198456
401.1211241124624,-0.09617903083562851,-0.13538524508476257,-0.11837726831436157,-0.09456615149974823,-0.10025934129953384,-0.10784067213535309,-0.13247615098953247,-0.11641979217529297,-0.111798495054245,-0.11275091767311096,-0.12808488309383392,-0.10936261713504791,0.005838009528815746,-0.12007918208837509,0.0010076176840811968,-0.1313762217760086,-0.12259767204523087,-0.12905284762382507,-0.1349782943725586,-0.12129072844982147,-0.1360039860010147,-0.08942202478647232,-0.1181640699505806,-0.13514187932014465,-0.14300663769245148,-0.10688113421201706,-0.12420609593391418,-0.11073588579893112,-0.11595828831195831,-0.08511176705360413,-0.10578542202711105,-0.11203688383102417,-0.11438899487257004,-0.08311866223812103,-0.1303074210882187
402.08535758388655,-0.09725437313318253,-0.13612939417362213,-0.11908292025327682,-0.09557833522558212,-0.10249275714159012,-0.10928262025117874,-0.13360077142715454,-0.11718160659074783,-0.1140432357788086,-0.11463572829961777,-0.12496344745159149,-0.11108625680208206,0.004146048333495855,-0.12005985528230667,0.0007628501625731587,-0.1297062486410141,-0.12155067920684814,-0.12720197439193726,-0.13320788741111755,-0.12001504749059677,-0.1352304071187973,-0.09201986342668533,-0.11854947358369827,-0.1357046663761139,-0.14382527768611908,-0.1066308543086052,-0.12374535948038101,-0.11031640321016312,-0.11646868288516998,-0.0852961391210556,-0.10613517463207245,-0.11157307773828506,-0.11341986060142517,-0.08763188123703003,-0.13017688691616058
403.04959105531077,-0.0976906344294548,-0.1366434097290039,-0.11923716962337494,-0.09671270847320557,-0.1044713705778122,-0.1110675036907196,-0.1351778656244278,-0.11834878474473953,-0.11621116101741791,-0.11634550243616104,-0.12174172699451447,-0.11262837797403336,0.0027357270009815693,-0.12009989470243454,5.709188189939596e-05,-0.12790940701961517,-0.12070977687835693,-0.12564489245414734,-0.13143634796142578,-0.11927666515111923,-0.13461868464946747,-0.09375743567943573,-0.11889414489269257,-0.13710755109786987,-0.14498868584632874,-0.10590783506631851,-0.12330940365791321,-0.1101740375161171,-0.1169089749455452,-0.08521920442581177,-0.10654237121343613,-0.11117801070213318,-0.11266789585351944,-0.09140262007713318,-0.13012483716011047
404.01382452673494,-0.09763483703136444,-0.13675633072853088,-0.11905160546302795,-0.09797371178865433,-0.10625439882278442,-0.1127191036939621,-0.13691696524620056,-0.11972257494926453,-0.11785944551229477,-0.11763240396976471,-0.11901068687438965,-0.11372527480125427,0.0017339083133265376,-0.1202959194779396,-0.0008987563196569681,-0.12609745562076569,-0.11995730549097061,-0.12478834390640259,-0.13001962006092072,-0.11885932832956314,-0.13432888686656952,-0.09460846334695816,-0.11905999481678009,-0.138623908162117,-0.146253764629364,-0.10504863411188126,-0.12306876480579376,-0.11026545614004135,-0.11754343658685684,-0.08490505814552307,-0.10709522664546967,-0.1108694076538086,-0.11213991791009903,-0.09423249214887619,-0.13021482527256012
404.9780579981591,-0.09731405228376389,-0.13640165328979492,-0.11889895051717758,-0.0992414653301239,-0.1078268364071846,-0.1138465628027916,-0.13850528001785278,-0.12101180851459503,-0.11867392808198929,-0.11827677488327026,-0.11716458201408386,-0.11421379446983337,0.0011552340583875775,-0.12080103158950806,-0.0018431962234899402,-0.12438908219337463,-0.11927525699138641,-0.1246919259428978,-0.12910018861293793,-0.1185847818851471,-0.13430792093276978,-0.09490928798913956,-0.1188783347606659,-0.13973455131053925,-0.14749032258987427,-0.10430839657783508,-0.12315613776445389,-0.11056526005268097,-0.11860380321741104,-0.0844244584441185,-0.10793665796518326,-0.11063556373119354,-0.111740343272686,-0.096078060567379,-0.13048085570335388
405.9422914695833,-0.09698119759559631,-0.13560333847999573,-0.1191042959690094,-0.10028505325317383,-0.1090385839343071,-0.1142953559756279,-0.13965539634227753,-0.12187878787517548,-0.11855346709489822,-0.11822230368852615,-0.11635398119688034,-0.11416996270418167,0.0009293115581385791,-0.12170885503292084,-0.002523496514186263,-0.1229749247431755,-0.1187659204006195,-0.1251126527786255,-0.12861809134483337,-0.11834287643432617,-0.13430851697921753,-0.09508667886257172,-0.11830345541238785,-0.14026275277137756,-0.14858561754226685,-0.1039113849401474,-0.12360640615224838,-0.11111057549715042,-0.12010236084461212,-0.08393875509500504,-0.10910940915346146,-0.1104867160320282,-0.11139783263206482,-0.09699701517820358,-0.13092221319675446
406.9065249410075,-0.09682774543762207,-0.13452363014221191,-0.11973825097084045,-0.10080420225858688,-0.10966485738754272,-0.11420093476772308,-0.14020459353923798,-0.12205954641103745,-0.117639921605587,-0.11765589565038681,-0.11647150665521622,-0.11393886059522629,0.0009431102080270648,-0.12292826920747757,-0.0027958096470683813,-0.12205841392278671,-0.11855974793434143,-0.12564773857593536,-0.12838469445705414,-0.11811656504869461,-0.13401834666728973,-0.09536131471395493,-0.11750924587249756,-0.14034678041934967,-0.14940038323402405,-0.10404247790575027,-0.12432035803794861,-0.11197192221879959,-0.12178099155426025,-0.08364004641771317,-0.11046707630157471,-0.11047465354204178,-0.11116499453783035,-0.09713249653577805,-0.13149981200695038
407.8707584124317,-0.09689296036958694,-0.13345958292484283,-0.1205555722117424,-0.10054263472557068,-0.10954803973436356,-0.11387256532907486,-0.14018140733242035,-0.121493861079216,-0.11623325943946838,-0.11693664640188217,-0.11723343282938004,-0.11395695805549622,0.0010964812245219946,-0.12415056675672531,-0.002703383332118392,-0.12172630429267883,-0.11868866533041,-0.1259487420320511,-0.1282302588224411,-0.11797451972961426,-0.13325969874858856,-0.09560150653123856,-0.11684563755989075,-0.14025574922561646,-0.14980188012123108,-0.10477520525455475,-0.12510399520397186,-0.11317266523838043,-0.12323230504989624,-0.08362234383821487,-0.11170388013124466,-0.11065959930419922,-0.11122086644172668,-0.09669218957424164,-0.1321450024843216
